No,League,Team,Player,Pos,Ht,Rk,S,Age,Nat,GP,G,A,A1,P,P1,ES G,ES A,ES A1,ES P,ES P1,PP G,PP A,PP A1,PP P,PP P1,SH G,SH A,SH A1,SH P,SH P1,ENG,Pts/GP,PIM,Pl/Mi
11,NWHL,MET,Alexa Gruschow,F,"5'7""",N,R,23.0,USA,16.0,9,13,9,22,18,7.0,6.0,4.0,13.0,11.0,0.0,7.0,5.0,7.0,5.0,2.0,0.0,0.0,2.0,2.0,0,1.38,26.0,
14,NWHL,MET,Madison Packer,F,"5'9""",N,R,26.0,USA,12.0,10,8,7,18,17,7.0,4.0,4.0,11.0,11.0,3.0,3.0,3.0,6.0,6.0,0.0,1.0,0.0,1.0,0.0,0,1.5,10.0,
14,NWHL,BOS,Jillian Dempsey,F,"5'4""",N,L,26.0,USA,16.0,7,8,5,15,12,6.0,7.0,5.0,13.0,11.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.94,2.0,
18,NWHL,MET,Rebecca Russo,F,"5'4""",N,L,23.0,USA,16.0,9,8,6,17,15,5.0,6.0,5.0,11.0,10.0,4.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1 ES,1.06,0.0,
14,NWHL,BUF,Hayley Scamurra,F,"5'8""",Y,L,22.0,USA,14.0,7,7,5,14,12,5.0,5.0,5.0,10.0,10.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1 PP,1.0,16.0,
16,NWHL,BUF,Maddie Elia,F,"5'10""",Y,R,22.0,USA,14.0,5,9,6,14,11,4.0,7.0,6.0,11.0,10.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,18.0,
36,NWHL,BUF,Kourtney Kunichika,F,"5'5""",N,R,26.0,USA,15.0,4,10,9,14,13,3.0,8.0,7.0,11.0,10.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.93,8.0,
19,NWHL,MET,Miye D'Oench,F,"5'4""",N,R,23.0,USA,9.0,7,6,5,13,12,5.0,5.0,4.0,10.0,9.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1 ES,1.44,0.0,
27,NWHL,BUF,Kristin Lewicki,F,"5'2""",Y,R,22.0,USA,14.0,5,2,2,7,7,5.0,2.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,2.0,
15,NWHL,BOS,Emily Field,F,"5'6""",N,L,24.0,USA,16.0,5,7,3,12,8,4.0,7.0,3.0,11.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.75,10.0,
17,NWHL,MET,Bray Ketchum,F,"5'8""",N,L,28.0,USA,16.0,5,6,2,11,7,4.0,6.0,2.0,10.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.69,4.0,
11,NWHL,CTW,Emily Fluke,F,"5'5""",Y,R,25.0,USA,16.0,4,7,2,11,6,4.0,6.0,2.0,10.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.69,20.0,
8,NWHL,CTW,Kelly Babstock,F,"5'7""",N,L,25.0,CAN,14.0,4,5,2,9,6,4.0,4.0,2.0,8.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.64,22.0,
3,NWHL,CTW,Amanda Boulier,D|F,"5'1""",Y,R,24.0,USA,12.0,3,5,4,8,7,2.0,5.0,4.0,7.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.67,0.0,
19,NWHL,BUF,Kaylyn Schroka,F,"5'7""",Y,R,23.0,USA,14.0,4,6,4,10,8,3.0,4.0,3.0,7.0,6.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0.71,0.0,
8,NWHL,BOS,Dana Trivigno,F,"5'4""",N,R,23.0,USA,13.0,3,5,4,8,7,2.0,4.0,4.0,6.0,6.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.62,24.0,
6,NWHL,MET,Courtney Burke,D,"5'9""",N,L,23.0,USA,16.0,2,17,8,19,10,0.0,9.0,5.0,9.0,5.0,2.0,8.0,3.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0,1.19,12.0,
24,NWHL,MET,Harrison Browne,F,"5'4""",N,L,24.0,CAN,15.0,3,6,3,9,6,2.0,5.0,3.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.6,8.0,
7,NWHL,MET,Tatiana Rafter,F,"5'10""",N,R,25.0,CAN,16.0,4,2,1,6,5,4.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.38,6.0,
32,NWHL,BUF,Jess Jones,F,"5'4""",*,L,27.0,CAN,14.0,4,5,4,9,8,4.0,2.0,1.0,6.0,5.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.64,11.0,
26,NWHL,BOS,Janine Weber,F,"5'8""",N,L,26.0,AUT,13.0,3,4,2,7,5,3.0,4.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.54,6.0,
55,NWHL,MET,Kelsey Koelzer,D,"5'9""",Y,R,22.0,USA,14.0,5,9,5,14,10,1.0,6.0,3.0,7.0,4.0,4.0,2.0,1.0,6.0,5.0,0.0,1.0,1.0,1.0,1.0,0,1.0,10.0,
28,NWHL,CTW,Sam Faber,F,"5'4""",N,R,30.0,USA,13.0,3,2,2,5,5,2.0,2.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.38,8.0,
95,NWHL,BUF,Taylor Accursi,F,"5'8""",Y,L,22.0,CAN,15.0,6,5,3,11,9,2.0,3.0,2.0,5.0,4.0,4.0,2.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.73,8.0,
2,NWHL,BOS,Alyssa Gagliardi,D,"5'4""",N,L,25.0,USA,16.0,2,6,5,8,7,2.0,3.0,2.0,5.0,4.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.5,12.0,
2,NWHL,MET,Erika Lawler,F,"4'11""",*,R,30.0,USA,14.0,1,7,3,8,4,0.0,6.0,3.0,6.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.57,10.0,
43,NWHL,CTW,Meghan Huertas,F,"5'6""",N,L,25.0,USA,7.0,2,2,2,4,4,2.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.57,6.0,
23,NWHL,BUF,Corinne Buie,F,"5'9""",N,R,25.0,USA,15.0,4,6,1,10,5,2.0,5.0,1.0,7.0,3.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.67,8.0,
3,NWHL,BUF,Sarah Edney,D,"5'6""",*,L,24.0,CAN,14.0,3,3,2,6,5,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1 ES,0.43,6.0,
11,NWHL,BOS,Jordan Smelker,F,"5'8""",N,L,25.0,USA,14.0,3,2,2,5,5,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.36,12.0,
19,NWHL,BOS,Sydney Daniels,F,"5'8""",Y,L,22.0,USA,7.0,4,2,1,6,5,3.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.86,2.0,
7,NWHL,BOS,Mary Parker,F,"5'9""",Y,L,24.0,USA,15.0,1,2,2,3,3,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,6.0,
5,NWHL,MET,Jenny Ryan,D,"5'4""",Y,R,22.0,USA,16.0,3,13,3,16,6,1.0,5.0,1.0,6.0,2.0,2.0,7.0,1.0,9.0,3.0,0.0,1.0,1.0,1.0,1.0,0,1.0,8.0,
26,NWHL,MET,Kiira Dosdall,D,"5'9""",N,R,30.0,USA,16.0,0,10,7,10,7,0.0,4.0,2.0,4.0,2.0,0.0,6.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0.63,8.0,
22,NWHL,MET,Kelly Nash,F,"5'6""",*,R,28.0,USA,8.0,2,3,1,5,3,1.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.63,2.0,
9,NWHL,CTW,Kaycie Anderson,F,"5'7""",Y,L,26.0,USA,12.0,1,1,1,2,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17,2.0,
17,NWHL,CTW,Emma Greco,D,"5'9""",Y,L,22.0,CAN,6.0,0,2,2,2,2,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.33,2.0,
21,NWHL,CTW,Cydney Roesler,D,"5'9""",N,R,23.0,CAN,14.0,1,1,1,2,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,8.0,
7,NWHL,BUF,Jordan Juron,F,"5'8""",Y,R,23.0,USA,2.0,1,1,1,2,2,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,
13,NWHL,BOS,Kaleigh Fratkin,D,"5'7""",N,R,25.0,CAN,11.0,0,5,2,5,2,0.0,4.0,2.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.45,20.0,
22,NWHL,BOS,Haley Skarupa,F,"5'6""",N,R,23.0,USA,5.0,2,3,0,5,2,2.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,2.0,
27,NWHL,BOS,Kathryn Tomaselli,F,"5'7""",N,R,24.0,USA,12.0,0,3,2,3,2,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,4.0,
44,NWHL,BOS,Paige Harrington,D,"5'11""",N,L,24.0,USA,14.0,0,3,2,3,2,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.21,15.0,
57,NWHL,BOS,Meagan Mangene,D|F,"5'5""",N,R,25.0,USA,15.0,2,1,1,3,3,2.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.2,2.0,
27,NWHL,MET,Michelle Picard,D,"5'4""",N,L,24.0,USA,16.0,0,4,1,4,1,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.25,10.0,
9,NWHL,MET,Rebecca Morse,D|F,"5'8""",N,L,25.0,USA,13.0,2,0,0,2,2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0.15,2.0,
10,NWHL,MET,Ashley Johnston,D,"6'0""",N,L,25.0,CAN,14.0,1,1,0,2,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,10.0,
21,NWHL,MET,Lauren Wash,F,"5'4""",N,L,23.0,USA,5.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.0,
6,NWHL,CTW,Shannon Doyle,D,"5'4""",N,R,25.0,CAN,15.0,0,5,2,5,2,0.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.33,16.0,
12,NWHL,CTW,Jamie Goldsmith,F,"5'5""",Y,L,26.0,USA,14.0,3,1,0,4,3,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.29,6.0,
25,NWHL,CTW,Juana Baribeau,F,"5'7""",N,L,28.0,CAN,16.0,1,1,1,2,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.13,16.0,
26,NWHL,CTW,Jordan Brickner,D,"5'8""",N,L,27.0,USA,15.0,1,1,1,2,2,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.13,0.0,
94,NWHL,CTW,Grace Klienbach,F,"5'7""",Y,R,23.0,USA,13.0,1,1,0,2,1,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,4.0,
10,NWHL,BUF,Sarah Casorso,D,"5'7""",N,L,25.0,CAN,15.0,0,9,3,9,3,0.0,6.0,1.0,6.0,1.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.6,17.0,
12,NWHL,BUF,Rebecca Vint,F,"5'10""",*,R,25.0,CAN,13.0,3,3,1,6,4,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0.46,16.0,
11,NWHL,BUF,Lisa Chesson,D,"5'6""",N,L,31.0,USA,14.0,1,4,0,5,1,1.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.36,15.0,
2,NWHL,BUF,Jordan Ott,F,"5'9""",Y,L,22.0,USA,7.0,0,2,1,2,1,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29,2.0,
17,NWHL,BUF,Jordyn Burns,D,"5'7""",N,L,25.0,USA,15.0,0,2,2,2,2,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.13,4.0,
25,NWHL,BUF,Jacquie Greco,D,"5'7""",N,R,26.0,USA,14.0,0,2,1,2,1,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,2.0,
5,NWHL,BUF,Sarah Shureb,F,"5'2""",Y,R,22.0,USA,8.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13,0.0,
20,NWHL,BUF,Katherine Donohue,F,"5'5""",Y,R,23.0,USA,6.0,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.17,0.0,
9,NWHL,BOS,Corey Stearns,F,"5'10""",*,R,26.0,USA,14.0,0,4,1,4,1,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.29,6.0,
37,NWHL,BOS,Heather Schwarz,F,"5'7""",Y,R,23.0,USA,15.0,1,1,1,2,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.13,4.0,
20,NWHL,MET,Cheeky Herr,F,"5'3""",N,R,23.0,USA,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
45,NWHL,MET,Lindsey Hylwa,F,"5'9""",Y,R,23.0,USA,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
7,NWHL,CTW,Rachael Ade,D,"5'9""",Y,L,22.0,USA,16.0,0,2,0,2,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13,8.0,
14,NWHL,CTW,Elena Orlando,D,"5'7""",N,L,25.0,USA,16.0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06,2.0,
32,NWHL,CTW,Sam Donovan,F,"5'2""",Y,R,23.0,USA,2.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,,
4,NWHL,CTW,Anya Battaglino,F,"5'4""",N,R,25.0,USA,9.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,
5,NWHL,CTW,Stephanie Mock,F,"5'4""",Y,R,25.0,USA,11.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,
10,NWHL,CTW,Sophia Agostinelli,F,"5'10""",*,R,25.0,USA,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
13,NWHL,CTW,Cassie Dunne,D,"5'3""",N,R,23.0,USA,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
16,NWHL,CTW,Hanna Beattie,D,"5'8""",Y,L,,USA,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
23,NWHL,CTW,Denise Cardello,F,"5'1""",Y,,29.0,USA,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
27,NWHL,CTW,Paige Savage,F,"5'8""",Y,L,23.0,USA,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
4,NWHL,BUF,Colleen Murphy,D,"5'4""",Y,R,24.0,USA,14.0,0,2,0,2,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.14,10.0,
6,NWHL,BUF,Jessica Sibley,F,"5'5""",Y,L,22.0,CAN,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
22,NWHL,BUF,Kayla Parsons,D,"5'8""",N,L,25.0,USA,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
10,NWHL,BOS,Kaliya Johnson,D,"5'7""",N,R,22.0,USA,16.0,0,2,0,2,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13,4.0,
5,NWHL,BOS,Lexi Bender,D,"5'8""",N,R,24.0,USA,16.0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.06,6.0,
6,NWHL,BOS,Elizabeth Parker,D,"5'9""",*,L,26.0,USA,4.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
12,NWHL,BOS,Marissa Gedman,D,"5'9""",N,L,25.0,USA,12.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.0,
18,NWHL,BOS,Michaela Levine,F,"5'7""",N,R,23.0,USA,5.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,
24,NWHL,BOS,Denna Laing,F,"5'8""",N,R,26.0,USA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
47,NWHL,BOS,Mallory Souliotis,D|F,"5'5""",Y,R,22.0,USA,2.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,
12,NWHL,MET,Hillary Crowe,F,"6'0""",*,R,25.0,USA,3.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,
